review_id,meta_decision,review,sentence count,word count,avg. sentence length,avg. word length,vocab length,hedge words,non-hedge words,hedge ratio,hedge_score,vader compound sentiment,noun_count,adj_count,verb_count,adverb_count,sections covered (out of 14),aspects covered (out of 9),section distribution,aspect distribution,ABS,INT,RWK,PDI,DAT,MET,EXP,RES,TNF,ANA,FWK,OAL,BIB,EXT,APR,NOV,IMP,CMP,PNF,REC,EMP,SUB,CLA,section score,aspect score,new info score
ICLR2018-B11bwYgfM-R1,,"The idea of using cross-task transfer performance to do task clustering is not new. Please refer to the paper ""Discovering structure in multiple learning tasks: The TC algorithm"" published in ICML 1996. One issue of the use of cross-task transfer performance to measure task relations is that it ignores the negative correlations between tasks, which is useful for learning from multiple tasks. For example, in binary classification tasks, a very small S_{ij} indicates that by changing the sign of the classification function these two tasks are useful to each other. So the use of cross-task transfer performance and the task clustering approach can only capture positive correlations between tasks but ignore the negative task relations which are also important to the sharing among tasks in multi-task learning. Problem (2) is identical to robust PCA and Theorem 3.1 is common in matrix completion literature. I don't see much novelty. Appendix A seems obvious but it cannot prove the validity of the assumption made in problem (2). Based on previous works such as ""Multi-task Sparse Structure Learning with Gaussian Copula Models"" and ""Learning Sparse Task Relations in Multi-Task Learning"", when the number of tasks is large, the task relation exhibits the sparse structure. I don't know whether the low-rank structure does exist in the cross-task transfer performance or not. The two parts in this paper are not new. The combination of the two parts seems a bit incremental and does not bring much novelty.",12,242,20.166666666666668,5.223175965665236,121,2,240,0.0083333333333333,0.0537190082644628,-0.7295,77,34,38,11,4,2,"{'ABS': 0, 'INT': 0, 'RWK': 2, 'PDI': 1, 'DAT': 0, 'MET': 5, 'EXP': 0, 'RES': 0, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 3, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 3, 'IMP': 0, 'CMP': 0, 'PNF': 0, 'REC': 0, 'EMP': 3, 'SUB': 0, 'CLA': 0}",0,0,2,1,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0.2868863796879095,0.2235563522609444,0.12507625505983952
ICLR2018-B11bwYgfM-R2,,"This paper proposes a method for multitask and few-shot learning by completing a performance matrix (which measures how well the classifier for task i performs on task j). The matrix completion approach is based on robust PCA. When used for multitask learning (MTL) with N tasks, the method has to first train one classifier for each task (and so train a total of N classifiers), and then evaluate the performance of each classifier on each and every task (and so involves N^2 testing rounds). This can be computationally demanding. The key assumption in the paper is that task classifier i that performs well on task j means tasks i and j belong to the same cluster, and if task classifier i does not perform well on task j, then tasks i and j belong to different cluster. The proposed algorithm then uses these performance values to perform task clustering. However, in MTL, we usually assume that there are not enough samples to learn each task, and so this performance matrix may not be reliable. There have been a number of MTL methods based on task clustering. For example, [1] A convex formulation for learning task relationships in multi-task learning (UAI) [2] A dirty model for multi-task learning (NIPS) [3] Clustered multi-task learning: A convex formulation (NIPS) [4] Convex multitask learning with flexible task clusters (ICML) [5] Integrating low-rank and group-sparse structures for robust multi-task learning (KDD) [6] Learning incoherent sparse and low-rank patterns from multiple tasks (KDD) In particular, [5] assumes that the combined weight matrix (for all the tasks) follows the robust PCA model. This is thus very similar to the proposed method (which assumes that the performance matrix follows the robust PCA model).  However, a disadvantage of the proposed method is that it is a two-step approach (first perform task clustering, then re-learn the cluster weights), while [5] is not. For few-shot learning, the authors mentioned that the alpha's are adaptable parameters but did not mention how they are adapted. Experimental results are not convincing. - Comparison with existing clustered MTL methods mentioned above are missing. - As mentioned above, the proposed method can be computationally expensive (when used for MTL), but no timing results are reported. - As the authors mentioned in section 4.2, most of the tasks have a significant amount of training data (and single-task baselines achieve good results), and so this is not a good benchmark dataset for MTL.",19,402,25.125,5.311653116531165,158,2,400,0.005,0.0073891625615763,-0.2271,133,44,76,27,5,2,"{'ABS': 0, 'INT': 0, 'RWK': 0, 'PDI': 1, 'DAT': 1, 'MET': 17, 'EXP': 3, 'RES': 1, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 0, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 0, 'PNF': 0, 'REC': 0, 'EMP': 7, 'SUB': 1, 'CLA': 0}",0,0,0,1,1,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.3613183225468291,0.22595396683128,0.1653929493767955
ICLR2018-B11bwYgfM-R3,,"The authors propose techniques for multitask and few shot learning, where the number of tasks is potentially very large, and the different tasks might have different output spaces. Prior techniques which can address some of these aspects do not necessarily work with deep learning, which is a key focus of the paper. The authors suggest computing a similarity matrix amongst the tasks. Given such a matrix, they propose to do multitask learning by clustering the similarity matrix, and learning a single model for each cluster. If the tasks in a cluster have different output spaces, then a separate output layer is learned for each task in the cluster following a common encoding module. To deal with the large number of tasks, the authors further propose computing a few randomly sampled entries of the similarity matrix, and then using ideas from robust matrix completion to induce the full matrix. The resulting algorithm is evaluated on a standard amazon reviews benchmark from multitask learning, as well as two datasets from intent classification in dialog systems. I think there are some interesting ideas in this paper, and the use of matrix completion techniques to deal with a large number of tasks is nice. But I believe there are important drawbacks in the framing and basic methodology and evaluation which make the paper unfit for publication in its current form. 1. The prior works which do task clustering and multitask learning typically focus on how one might induce clusters which work well with the multitask learning methods used (see e.g. Kang et al. which is cited, as well as Kshirsagar et al. in ECML 2017 as two examples). In this paper, on the other hand, the clusters are obtained in a manner which only accounts for pairwise similarities of tasks, using a pairwise similarity metric which is quite different from how the cluster is eventually used. This seems quite suboptimal. 2. The pairwise similarity measure appears to be one that might have a high false negative rate. That is, it might rate many tasks as dissimilar even when they are not. This is because you train individual model on i and apply it to j. It is possible that this model does not do well, but there is an equally good model for i which also does well on j. Such a model would indeed be found if i and j are put in the same cluster, but the method would fail to do so, leading to high fragmentation. 3. I do not see how you apply the model from task i to task j when the two have different output spaces. Since this is a major motivation of the paper, I actually do not see how the setup makes sense! 4. It seems odd to put absolute errors on task j instead of regret to the model trained on j in the similarity matrix. 5. The inducing of edges in the Y matrix by comparing to a mean and standard deviation is completely baseless.  Without good reasoning from the authors, I see no reason why the entries in the row of a matrix should have a normal-like distribution. Furthermore, in the matrix completion scenario, you have O(log^2n) entries per row on average, which means with high probability few rows should have a constant number of entries. In this case, the means are standard deviations do not even make sense to me. At the very least, I would consider using regret to the model of the task, and compute some quantiles on that which is still suspect in the matrix completion setting. 6 .In the evaluation, why are just 12 tasks used in the Amazon dataset? Why don't you present evaluation results on all tasks in the multitask setting? 7. Why is average accuracy the right thing? If the error rates are different for different tasks, it is not sensible to measure raw accuracies. The authors also seem to miss a potentially relevant baseline in Cross-Stitch Networks (https://arxiv.org/abs/1604.03539) Besides these major issues, there are also a few minor issues I have with the paper.  I do not see why there's need for a proof for the matrix completion result.  This appears to be a direct application of Chandrasekaran et al, and in fact matrix completion has been used for clustering before (https://arxiv.org/abs/1104.4803). Given this, the presentation in the paper makes the idea look more novel than it is. I also think that the authors might benefit from dropping the whole few-shot learning angle here, and instead do a more thorough job of evaluating their multitask learning method.",35,763,19.56410256410257,4.860955056179775,278,11,752,0.014627659574468,0.0378590078328981,-0.7209,216,72,136,49,8,4,"{'ABS': 0, 'INT': 1, 'RWK': 3, 'PDI': 5, 'DAT': 3, 'MET': 23, 'EXP': 1, 'RES': 2, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 3, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 1, 'IMP': 0, 'CMP': 4, 'PNF': 1, 'REC': 0, 'EMP': 24, 'SUB': 0, 'CLA': 0}",0,1,3,5,3,23,1,2,0,0,0,3,0,0,0,1,0,4,1,0,24,0,0,0.5775496941726226,0.4591009531174028,0.3237709866343145
ICLR2018-B12Js_yRb-R1,Accept,"Summary:  - This paper proposes a hand-designed network architecture on a graph of object proposals to perform soft non-maximum suppression to get object count. Contribution: - This paper proposes a new object counting module which operates on a graph of object proposals. Clarity: - The paper is well written and clarity is good. Figure 2 & 3 helps the readers understand the core algorithm. Pros: - De-duplication modules of inter and intra object edges are interesting. - The proposed method improves the baseline by 5% on counting questions. Cons: - The proposed model is pretty hand-crafted. I would recommend the authors to use something more general, like graph convolutional neural networks (Kipf & Welling, 2017) or graph gated neural networks (Li et al., 2016). - One major bottleneck of the model is that the proposals are not jointly finetuned. So if the proposals are missing a single object, this cannot really be counted. In short, if the proposals don't have 100% recall, then the model is then trained with a biased loss function which asks it to count all the objects even if some are already missing from the proposals. The paper didn't study what is the recall of the proposals and how sensitive the threshold is. - The paper doesn't study a simple baseline that just does NMS on the proposal domain. - The paper doesn't compare experiment numbers with (Chattopadhyay et al., 2017). - The proposed algorithm doesn't handle symmetry breaking when two edges are equally confident (in 4.2.2 it basically scales down both edges). This is similar to a density map approach and the problem is that the model doesn't develop a notion of instance. - Compared to (Zhou et al., 2017), the proposed model does not improve much on the counting questions.  - Since the authors have mentioned in the related work, it would also be more convincing if they show experimental results on CL   Conclusion: - I feel that the motivation is good, but the proposed model is too hand-crafted. Also, key experiments are missing: 1) NMS baseline 2) Comparison with VQA counting work  (Chattopadhyay et al., 2017). Therefore I recommend reject. References: - Kipf, T.N., Welling, M., Semi-Supervised Classification with Graph Convolutional Networks. ICLR 2017. - Li, Y., Tarlow, D., Brockschmidt, M., Zemel, R. Gated Graph Sequence Neural Networks. ICLR 2016. Update: Thank you for the rebuttal. The paper is revised and I saw NMS baseline is added. I understood the reason not to compare with certain related work. The rebuttal is convincing and I decided to increase my rating, because adding the proposed counting module achieve 5% increase in counting accuracy. However, I am a little worried that the proposed model may be hard to reproduce due to its complexity and therefore choose to give a 6.",30,447,14.9,5.240196078431373,210,1,446,0.0022421524663677,0.0149253731343283,0.9741,129,51,99,32,11,7,"{'ABS': 0, 'INT': 2, 'RWK': 10, 'PDI': 3, 'DAT': 0, 'MET': 12, 'EXP': 4, 'RES': 3, 'TNF': 1, 'ANA': 0, 'FWK': 1, 'OAL': 4, 'BIB': 2, 'EXT': 1}","{'APR': 0, 'NOV': 0, 'IMP': 1, 'CMP': 5, 'PNF': 1, 'REC': 3, 'EMP': 11, 'SUB': 10, 'CLA': 1}",0,2,10,3,0,12,4,3,1,0,1,4,2,1,0,0,1,5,1,3,11,10,1,0.7898535493299337,0.7854656918741908,0.6279043628531911
ICLR2018-B12Js_yRb-R2,Accept,"Summary  - This paper mainly focuses on a counting problem in visual question answering (VQA) using attention mechanism. The authors propose a differentiable counting component, which explicitly counts the number of objects. Given attention weights and corresponding proposals, the model deduplicates overlapping proposals by eliminating intra-object edges and inter-object edges using graph representation for proposals. In experiments, the effectiveness of proposed model is clearly shown in counting questions on both a synthetic toy dataset and the widely used VQA v2 dataset. Strengths  - The proposed model begins with reasonable motivation and shows its effectiveness in experiments clearly. - The architecture of the proposed model looks natural and all components seem to have clear contribution to the model. - The proposed model can be easily applied to any VQA model using soft attention. - The paper is well written and the contribution is clear. Weaknesses  - Although the proposed model is helpful to model counting information in VQA, it fails to show improvement with respect to a couple of important baselines: prediction from image representation only and from the combination of image representation and attention weights. - Qualitative examples of intermediate values in counting component--adjacency matrix (A), distance matrix (D) and count matrix (C)--need to be presented to show the contribution of each part, especially in the real examples that are not compatible with the strong assumptions in modeling counting component. Comments  - It is not clear if the value of count c is same with the final answer in counting questions.   ",12,243,20.25,5.757446808510639,125,0,243,0.0,0.0232558139534883,0.9816,83,24,46,11,8,3,"{'ABS': 0, 'INT': 2, 'RWK': 1, 'PDI': 3, 'DAT': 1, 'MET': 4, 'EXP': 3, 'RES': 1, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 3, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 1, 'PNF': 0, 'REC': 0, 'EMP': 6, 'SUB': 0, 'CLA': 1}",0,2,1,3,1,4,3,1,0,0,0,3,0,0,0,0,0,1,0,0,6,0,1,0.5725864956224708,0.3364431205075482,0.2881125247100452
ICLR2018-B12Js_yRb-R3,Accept,"This paper tackles the object counting problem in visual question answering. It is based on the two-stage method that object proposals are generated from the first stage with attention. It proposes many heuristics to use the object feature and attention weights to find the correct count. In general, it treats all object proposals as nodes on the graph. With various agreement measures, it removes or merges edges and count the final nodes. The method is evaluated on one synthetic toy dataset and one VQA v2 benchmark dataset. The experimental results on counting are promising. Although counting is important in VQA, the method is solving a very specific problem which cannot be generalized to other representation learning problems. Additionally, this method is built on a series of heuristics without sound theoretically justification, and these heuristics cannot be easily adapted to other machine learning applications. I thus believe the overall contribution is not sufficient for ICLR. Pros: 1. Well written paper with clear presentation of the method.  2. Useful for object counting problem. 3. Experimental performance is convincing. Cons: 1. The application range of the method is very limited. 2. The technique is built on a lot of heuristics without theoretical consideration. Other comments and questions:  1. The determinantal point processes [1] should be able to help with the correct counting the objects with proper construction of the similarity kernel. It may also lead to simpler solutions. For example, it can be used for deduplication using A (eq 1) as the similarity matrix. 2. Can the author provide analysis on scalability the proposed method? When the number of objects is very large, the graph could be huge. What are the memory requirements and computational complexity of the proposed method? In the end of section 3, it mentioned that without normalization, the method will not scale to an arbitrary number of objects. I think that it will only be a problem for extremely large numbers. I wonder whether the proposed method scales. 3. Could the authors provide more insights on why the structured attention (etc) did not significantly improve the result?  Theoritically, it solves the soft attention problems. 4. The definition of output confidence (section 4.3.1) needs more motivation and theoretical justification. [1] Kulesza, Alex, and Ben Taskar. Determinantal point processes for machine learning. Foundations and Trendsu00ae in Machine Learning 5.2u20133 (2012): 123-286.",28,390,10.833333333333334,5.5,190,2,388,0.0051546391752577,0.0203562340966921,0.8915,121,42,65,18,10,5,"{'ABS': 0, 'INT': 2, 'RWK': 0, 'PDI': 2, 'DAT': 1, 'MET': 20, 'EXP': 2, 'RES': 5, 'TNF': 1, 'ANA': 1, 'FWK': 0, 'OAL': 2, 'BIB': 1, 'EXT': 0}","{'APR': 1, 'NOV': 0, 'IMP': 0, 'CMP': 0, 'PNF': 2, 'REC': 0, 'EMP': 16, 'SUB': 3, 'CLA': 1}",0,2,0,2,1,20,2,5,1,1,0,2,1,0,1,0,0,0,2,0,16,3,1,0.7194786054093912,0.5651598390186464,0.4563820991840862
ICLR2018-B13EC5u6W-R1,Reject,"* This paper models images with a latent code representation, and then tries to modify the latent code to minimize changes in image space, while changing the classification label. As the authors indicate, it lies in the space of algorithms looking to modify the image while changing the label (e.g. LIME etc). * This is quite an interesting paper with a sensible goal. It seems like the method could be more informative than the other methods. However, there are quite a number of problems, as explained below.  * The explanation of eqs 1 and 2 is quite poor. alpha in (1) seems to be gamma in Alg 1 (line 5). L_target is a target objective which can be a negative class probability .. this assumes that the example is a positive class. Could we not also apply this to negative examples? or in the case of heart failure, predicted BNP level -- this doesn't make sense to me -- surely it would be necessary to target an adjusted BNP level? Also specific details should be reserved until a general explanation of the problem has been made. * The trade-off parameter gamma is a fiddle factor -- how was this set for the lung image and MNIST examples? Were these values different? * In typical ICLR style the authors use a deep network to learn the encoder and decoder networks. It would be v interesting (and provide a good baseline) to use a shallow network (i.e. PCA) instead, and elucidate what advantages the deep network brings. * The example of 4/9 misclassification seems very specific. Does this method also work on say 2s and 3s? Why have you not reported results for these kinds of tasks? * Fig 2: better to show each original and reconstructed image close by (e.g. above below or side-by-side). The reconstructions show poor detail relative to the originals.  This loss of detail could be a limitation. * A serious problem with the method is that we are asked to evaluate it in terms of images like Fig 4 or Fig 8. A serious study would involve domain experts and ascertain if Fig 4 conforms with what they are looking for. * The references section is highly inadequate -- no venues of publication are given. If these are arXiv give the proper ref. Others are published in conferences etc, e.g. Goodfellow et al is in Advances in Neural Information Processing Systems 27, 2014. * Overall: the paper contains an interesting idea, but given the deficiencies raised above I judge that it falls below the ICLR threshold. * Text:  sec 2 para 4. reconstruction loss on the validation set was similar to the reconstruction loss on the validation set. ?? * p 3 bottom -- give size of dataset  * p 5 AUC curve -> ROC curve  * p 6 Fig 4 use text over each image to better specify the details given in the caption.    ",26,466,15.533333333333331,4.847775175644028,229,3,463,0.0064794816414686,0.0241448692152917,-0.5452,139,49,87,18,9,3,"{'ABS': 0, 'INT': 1, 'RWK': 0, 'PDI': 1, 'DAT': 3, 'MET': 10, 'EXP': 2, 'RES': 5, 'TNF': 2, 'ANA': 0, 'FWK': 0, 'OAL': 2, 'BIB': 3, 'EXT': 0}","{'APR': 1, 'NOV': 0, 'IMP': 0, 'CMP': 0, 'PNF': 0, 'REC': 0, 'EMP': 14, 'SUB': 3, 'CLA': 0}",0,1,0,1,3,10,2,5,2,0,0,2,3,0,1,0,0,0,0,0,14,3,0,0.64558355950197,0.3416321330029349,0.32624280833088154
ICLR2018-B13EC5u6W-R2,Reject,"The main contribution of the paper is a method that provides visual explanations of classification decisions. The proposed method uses   - a generator trained in a GAN setup  - an autoencoder to obtain a latent space representation  - a method inspired by adversarial sample generation to obtain a generated image from another class - which can then be compared to the original image (or rather the reconstruction of it).  The method is evaluated on a medical images dataset and some additional demonstration on MNIST is provided. - The paper proposes a (I believe) novel method to obtain visual explanations. The results are visually compelling although most results are shown on a medical dataset - which I feel is very hard for most readers to follow. The MNIST explanations help a lot. It would be great if the authors could come up with an additional way to demonstrate their method to the non-medical reader. - The paper shows that the results are plausible using a neat trick. The authors train their system with the testdata included which leads to very different visualizations. It would be great if this analysis could be performed for MNIST as well. From the related work, it would be nice to mention that generative models (p(x|c)) also often allow for explaining their decisions, e.g. the work by Lake and Tenenbaum on probabilistic program induction. Also, there is the work by Hendricks et al on Generating Visual Explanations. This should probably also be referenced. minor comments:  - some figures with just two parts are labeled from left to right - it would be better to just write left: ... right: ... n- figure 2: do these images correspond to each other? If yes, it would be good to show them pairwise. - figure 5: please explain why the saliency map is relevant. This looks very noisy and non-interesting.  ",17,298,14.9,5.095406360424028,163,2,296,0.0067567567567567,0.0157232704402515,0.9864,73,35,62,16,8,3,"{'ABS': 0, 'INT': 0, 'RWK': 2, 'PDI': 0, 'DAT': 5, 'MET': 6, 'EXP': 2, 'RES': 2, 'TNF': 4, 'ANA': 1, 'FWK': 0, 'OAL': 1, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 1, 'IMP': 0, 'CMP': 0, 'PNF': 4, 'REC': 0, 'EMP': 7, 'SUB': 0, 'CLA': 0}",0,0,2,0,5,6,2,2,4,1,0,1,0,0,0,1,0,0,4,0,7,0,0,0.5731161744259907,0.3372497847138012,0.29079395504844535
ICLR2018-B13EC5u6W-R3,Reject,"The authors address two important issues: semi-supervised learning from relatively few labelled training examples in the presence of many unlabelled examples, and visual rationale generation: explaining the outputs of the classifiier by overlaing a visual rationale on the original image. This focus is mainly on medical image classification but the approach could potentially be useful in many more areas. The main idea is to train a GAN on the unlabeled examples to create a mapping from a lower-dimensional space in which the input features are approximately Gaussian, to the space of images, and then to train an encoder to map the original images into this space minimizing reconstruction error with the GAN weights fixed. The encoder is then used as a feature extractor for classification and regression of targets (e.g. heard disease). The visual rationales are generated by optimizing the encoded representation to simultaneously reconstruct an image close to the original and to minimize the probability of the target class. This gives an image that is similar to the original but with features that caused the classification of the disease removed. The resulting image can be subtracted from the original encoding to highlight problematic areas. The approach is evaluated on an in-house dataset and a public NIH dataset, demonstrating good performance, and illustrative visual rationales are also given for MNIST. The idea in the paper is, to my knowledge, novel, and represents a good step toward the important task of generating interpretable visual rationales. There are a few limitations, e.g. the difficulty of evaluating the rationales, and the fact that the resolution is fixed to 128x128 (which means discarding many pixels collected via ionizing radiation), but these are readily acknowledged by the authors in the conclusion. Comments: 1) There are a few details missing, like the batch sizes used for training (it is difficult to relate epochs to iterations without this). Also, the number of hidden units in the 2 layer MLP from para 5 in Sec 2. 2) It would be good to include PSNR/MSE figures for the reconstruction task (fig 2) to have an objective measure of error. 3) Sec 2 para 4: the reconstruction loss on the validation set was similar to the reconstruction loss on the validation set -- perhaps you could be a little more precise here. E.g. learning curves would be useful. 4) Sec 2 para 5: paired with a BNP blood test that is correlated with heart failure I suspect many readers of ICLR, like myself, will not be well versed in this test, correlation with HF, diagnostic capacity, etc., so a little further explanation would be helpful here. The term correlated is a bit too broad, and it is difficult for a non-expert to know exactly how correlated this is. It is also a little confusing that you begin this paragraph saying that you are doing a classification task, but then it seems like a regression task which may be postprocessed to give a classification. Anyway, a clearer explanation would be helpful. Also, if this test is diagnostic, why use X-rays for diagnosis in the first place? 5) I would have liked to have seen some indicative times on how long the optimization takes to generate a visual rationale, as this would have practical implications.. 6) Sec 2 para 7: L_target is a target objective which can be a negative class probability or in the case of heart failure, predicted BNP level -- for predicted BNP level, are you treating this as a probability and using cross entropy here, or  mean squared error?. 7) As always, it would be illustrative if you could include some examples of failure cases, which would be helpful both in suggesting ways of improving the proposed technique, and in providing insight into where it may fail in practical situations.",22,630,25.2,5.158432708688245,268,4,626,0.0063897763578274,0.0205371248025276,0.982,165,72,108,25,5,2,"{'ABS': 0, 'INT': 0, 'RWK': 0, 'PDI': 4, 'DAT': 1, 'MET': 15, 'EXP': 8, 'RES': 1, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 0, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 0, 'PNF': 0, 'REC': 0, 'EMP': 18, 'SUB': 4, 'CLA': 0}",0,0,0,4,1,15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0.3614268168633704,0.2331155281395172,0.1644551652629094
ICLR2018-B13njo1R--R1,Accept,"This paper aims to learn a single policy that can perform a variety of tasks that were experienced sequentially. The approach is to learn a policy for task 1, then for each task k+1: copy distilled policy that can perform tasks 1-k, finetune to task k+1, and distill again with the additional task. The results show that this PLAID algorithm outperforms a network trained on all tasks simultaneously. Questions: - When distilling the policies, do you start from a randomly initialized policy, or do you start from the expert policy network? - What data do you use for the distillation? Section 4.1 statesWe use a method similar to the DAGGER algorithm, but what is your method. If you generate trajectories form the student network, and label them with the expert actions, does that mean all previous expert policies need to be kept in memory? - I do not understand the purpose of input injection nor where it is used in the paper.  Strengths: - The method is simple but novel. The results support the method's utility. - The testbed is nice; the tasks seem significantly different from each other. It seems that no reward shaping is used. - Figure 3 is helpful for understanding the advantage of PLAID vs MultiTasker. Weaknesses: - Figure 2: the plots are too small. - Distilling may hurt performance ( Figure 2.d) - The method lacks details (see Questions above) - No comparisons with prior work are provided. The paper cites many previous approaches to this but does not compare against any of them. - A second testbed (such as navigation or manipulation) would bring the paper up a notch. In conclusion, the paper's approach to multitask learning is a clever combination of prior work. The method is clear but not precisely described. The results are promising. I think that this is a good approach to the problem that could be used in real-world scenarios. With some filling out, this could be a great paper.",25,318,16.736842105263158,5.03030303030303,162,3,315,0.0095238095238095,0.0181268882175226,0.968,88,30,65,12,6,6,"{'ABS': 0, 'INT': 0, 'RWK': 3, 'PDI': 1, 'DAT': 0, 'MET': 16, 'EXP': 0, 'RES': 5, 'TNF': 3, 'ANA': 0, 'FWK': 0, 'OAL': 1, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 1, 'IMP': 0, 'CMP': 2, 'PNF': 3, 'REC': 0, 'EMP': 17, 'SUB': 3, 'CLA': 1}",0,0,3,1,0,16,0,5,3,0,0,1,0,0,0,1,0,2,3,0,17,3,1,0.4327546895752175,0.6770716390455938,0.3076970766122433
